var_1,var_2,var_3,var_4,var_5,var_6
0.0,1.0,4.87,100.0,0.0,700.0
0.00863891827387276,0.9940119939940012,4.870002166492982,100.00007463090894,0.0007214421628836044,699.9992785578371
0.01722641411059625,0.9880598442039303,4.8700173319438536,100.00029674934311,0.0028857686515344175,699.9971142313485
0.0257630960650818,0.9821433359225509,4.870058495310504,100.00066373711886,0.006492979465952439,699.993507020534
0.034249561952910186,0.976262255728295,4.870138655550824,100.00117303249397,0.01154307460613767,699.9884569253938
0.042686399101550164,0.970416391477564,4.870270811622704,100.00182212866825,0.018036054072090107,699.9819639459279
0.051074184594269365,0.9646055322970767,4.870467962484033,100.00260857233197,0.025971917863809757,699.9740280821362
0.05941348550699868,0.9588294685762622,4.8707431070927,100.00352996226009,0.03535066598129661,699.9646493340188
0.06770485913839012,0.9530879919596988,4.871109244406596,100.00458394795095,0.04617229842455068,699.9538277015755
0.07594885323329842,0.9473808953395988,4.87157937338361,100.00576822830746,0.05843681519357196,699.9415631848065
0.08414600619991812,0.9417079728483368,4.872166492981632,100.00708055035939,0.07214421628836043,699.9278557837116
0.09229684732078235,0.936069019851024,4.872883602158553,100.00851870802535,0.08729450170891612,699.9127054982911
0.10040189695783747,0.9304638329381266,4.873743699872261,100.01008054091274,0.10388767145523903,699.8961123285447
0.10846166675178923,0.9248922099181285,4.874759785080647,100.01176393315458,0.12192372552732914,699.8780762744726
0.11647665981590868,0.9193539498102373,4.8759448567416,100.01356681228187,0.14140266392518644,699.8585973360748
0.1244473709244885,0.9138488528371349,4.87731191381301,100.01548714813002,0.16232448664881094,699.8376755133512
0.1323742866961175,0.908376720417771,4.878873955252766,100.0175229517783,0.18468919369820272,699.8153108063018
0.14025788577195053,0.9029373551601999,4.88064398001876,100.01967227452121,0.20849678507336167,699.7915032149266
0.14809863898913392,0.8975305608544599,4.88263498706888,100.02193320687043,0.23374726077428784,699.7662527392257
0.15589700954954125,0.892156142465496,4.884859975361017,100.02430387758649,0.2604406208009812,699.739559379199
0.1636534531839756,0.8868139061261239,4.887331943853059,100.02678245273904,0.2885768651534417,699.7114231348465
0.17136841831198113,0.8815036591300374,4.890063891502898,100.02936713479475,0.3181559938316694,699.6818440061684
0.17904234619740203,0.8762252099248568,4.893068817268422,100.03205616173187,0.34917800683566447,699.6508219931643
0.18667567109982955,0.8709783681052192,4.896359720107522,100.03484780618057,0.3816429041654267,699.6183570958345
0.19426882042206,0.8657629444059101,4.899949598978087,100.03774037458818,0.4155506858209561,699.5844493141791
0.20182221485369486,0.8605787506950363,4.9038514528380075,100.04073220640845,0.45090135180225266,699.5490986481977
0.20933626851100162,0.8554255999672395,4.908078280645172,100.04382167331411,0.48769490210931654,699.5123050978907
0.21681138907314831,0.8503033063369505,4.912643081357472,100.04700717843183,0.5259313367421476,699.4740686632579
0.22424797791492976,0.8452116850316843,4.917558853932795,100.05028715559894,0.5656106557007458,699.4343893442992
0.23164643023609022,0.8401505523853742,4.922838597329034,100.05366006864112,0.6067328589851111,699.3932671410149
0.23900713518734423,0.8351197258317473,4.9284953105040765,100.05712441067047,0.6492979465952438,699.3507020534048
0.24633047599320315,0.8301190238977387,4.934541992415812,100.06067870340304,0.6933059185311437,699.3066940814689
0.2536168300716958,0.8251482661969453,4.940991642022132,100.06432149649561,0.7387567747928109,699.2612432252072
0.2608665691510836,0.8202072734231185,4.9478572582809255,100.06805136690066,0.7856505153802451,699.2143494846198
0.2680800593836582,0.815295867343697,4.955151840150082,100.07186691823915,0.8339871402934467,699.1660128597066
0.27525766145670516,0.8104138707933769,4.962888386587491,100.07576678019062,0.8837666495324153,699.1162333504676
0.28239973070072494,0.8055611076677214,4.971079896551044,100.07974960789984,0.9349890430971514,699.0650109569028
0.289506617194985,0.8007374029168081,4.9797393689986285,100.08381408139968,0.9876543209876543,699.0123456790124
0.29657866587048665,0.7959425825389144,4.988879802888135,100.08795890504952,1.0417624832039247,698.9582375167961
0.3036162166104208,0.7911764735742411,4.998514197177455,100.09218280698883,1.0973135297459622,698.902686470254
0.31061960434818314,0.7864389040986736,5.008655550824477,100.09648453860542,1.1543074606137669,698.8456925393863
0.31758915916302494,0.7817297032175796,5.01931686278709,100.10086287401788,1.2127442758073388,698.7872557241926
0.32452520637340154,0.7770487010596452,5.030511132023185,100.1053166095717,1.2726239753266777,698.7273760246733
0.3314280666280894,0.7723957287707464,5.042251357490651,100.10984456334883,1.3339465591717845,698.6660534408283
0.33829805599513396,0.7677706185078593,5.054550538147378,100.11444557469008,1.3967120273426579,698.6032879726573
0.3451354860486875,0.7631732034330049,5.067421672951257,100.11911850373006,1.460920379839299,698.5390796201607
0.35194066395380197,0.7586033177072307,5.080877760860176,100.12386223094424,1.5265716166617067,698.4734283833383
0.3587138925492283,0.7540607964846292,5.0949318008320255,100.12867565670781,1.5936657378098822,698.4063342621902
0.3654554704282834,0.749545475906391,5.109596791824695,100.13355770086596,1.6622027432838244,698.3377972567162
0.372165692017836,0.7450571930948944,5.124885732796075,100.13850730231512,1.7321826330835335,698.2678173669165
0.37884484765546267,0.7405957861478295,5.140811622704056,100.1435234185951,1.8036054072090106,698.196394592791
0.38549322366482847,0.7361610941323589,5.157387460506525,100.1486050254915,1.8764710656602546,698.1235289343398
0.3921111024293363,0.7317529570793117,5.174626245161375,100.15375111664835,1.9507796084372662,698.0492203915627
0.39869876246409597,0.7273712159774134,5.1925409756264935,100.1589607031904,2.026531035540044,697.9734689644599
0.40525647848625845,0.72301571276755,5.211144650859771,100.16423281335508,2.1037253469685906,697.8962746530314
